iter	RMSE
0	74.76514569
1	74.22973566
2	73.67770108
3	73.20091017
4	72.80508683
5	72.45033682
6	72.14989007
7	71.83493767
8	71.51632363
9	71.24558696
10	70.9882262
11	70.76483926
12	70.52861828
13	70.33667566
14	70.15054238
15	70.01473419
16	69.86332451
17	69.72937802
18	69.57885802
19	69.46418129
20	69.33665139
21	69.22408573
22	69.10933168
23	69.02312857
24	68.94636727
25	68.8724392
26	68.82046589
27	68.74336022
28	68.6964795
29	68.64905125
30	68.58341491
31	68.52639364
32	68.48063857
33	68.43280745
34	68.38500725
35	68.35031102
36	68.3327111
37	68.28312798
38	68.23879515
39	68.20112182
40	68.15113904
41	68.11993093
42	68.0815977
43	68.04668685
44	68.02303952
45	67.9946404
46	67.96600599
47	67.94307895
48	67.91873462
49	67.89060001
50	67.86851723
51	67.84089144
52	67.81185418
53	67.78728184
54	67.76356459
55	67.74655735
56	67.72846716
57	67.70988173
58	67.68425257
59	67.66449254
60	67.64751338
61	67.62461421
62	67.59177542
63	67.5702148
64	67.54072228
65	67.52065412
66	67.48952672
67	67.45185146
68	67.43135544
69	67.41399559
70	67.38762303
71	67.36400662
72	67.32614901
73	67.30723202
74	67.28659452
75	67.27493085
76	67.2595054
77	67.22489554
78	67.19965263
79	67.17532046
80	67.15632625
81	67.13607033
82	67.12380095
83	67.10865358
84	67.08870702
85	67.07228923
86	67.05054065
87	67.02764947
88	67.00587043
89	66.99173261
90	66.9674942
91	66.95955276
92	66.9443761
93	66.91936393
94	66.89753163
95	66.87091174
96	66.85442532
97	66.8269473
98	66.81569227
99	66.79865506
100	66.78298837
101	66.76578406
102	66.74644852
103	66.72559557
104	66.71241649
105	66.68915656
106	66.65286806
107	66.64005621
108	66.62305789
109	66.60638144
110	66.59497703
111	66.57906424
112	66.56884492
113	66.5471484
114	66.53501572
115	66.51425439
116	66.49495016
117	66.48617723
118	66.46534614
119	66.45230105
120	66.43716893
121	66.42542442
122	66.40812437
123	66.38774807
124	66.36731374
125	66.34534067
126	66.31584694
127	66.29970355
128	66.28411704
129	66.26217453
130	66.24749254
131	66.22967247
132	66.21096596
133	66.19037315
134	66.17545422
135	66.14812114
136	66.14720831
137	66.13097368
138	66.1216808
139	66.11205207
140	66.10224843
141	66.07811256
142	66.06486287
143	66.05084989
144	66.04210349
145	66.01006826
146	65.9864262
147	65.97433891
148	65.95039468
149	65.93283389
150	65.92059126
151	65.9000646
152	65.88280158
153	65.8666651
154	65.85269109
155	65.83810317
156	65.82466352
157	65.80115341
158	65.77122486
159	65.75828233
160	65.74530711
161	65.72756233
162	65.70695479
163	65.68838787
164	65.6760254
165	65.66540638
166	65.65012201
167	65.63585602
168	65.61321748
169	65.59052598
170	65.57107876
171	65.55460022
172	65.54075928
173	65.52395833
174	65.50759874
175	65.4794154
176	65.46683709
177	65.45079517
178	65.43747778
179	65.41520686
180	65.39935671
181	65.38337426
182	65.36749478
183	65.34699857
184	65.33676277
185	65.32415637
186	65.31265926
187	65.29547506
188	65.27433039
189	65.26429205
190	65.25052519
191	65.23508613
192	65.22601794
193	65.21308499
194	65.19428839
195	65.17461446
196	65.15974336
197	65.14727408
198	65.1320001
199	65.11631153
200	65.10242116
201	65.08373242
202	65.07052465
203	65.05169702
204	65.03821235
205	65.00807745
206	64.99807898
207	64.98424627
208	64.97182447
209	64.95881074
210	64.93935929
211	64.92640289
212	64.89536421
213	64.88091774
214	64.86407085
215	64.84842184
216	64.83351323
217	64.81929303
218	64.79929004
219	64.78725482
220	64.77017341
221	64.7561065
222	64.73416631
223	64.71419323
224	64.70034213
225	64.67264248
226	64.65351966
227	64.63859087
228	64.62140448
229	64.61040103
230	64.60124459
231	64.58736003
232	64.56582867
233	64.54453208
234	64.53560841
235	64.51752599
236	64.5007821
237	64.4867188
238	64.46558537
239	64.45606226
240	64.44253622
241	64.42231337
242	64.41550767
243	64.39758949
244	64.38069488
245	64.36814027
246	64.3475554
247	64.32884505
248	64.31748999
249	64.30502024
250	64.28308771
251	64.26553493
252	64.25627045
253	64.24284208
254	64.22821532
255	64.21889025
256	64.20839579
257	64.19290673
258	64.17904424
259	64.16321994
260	64.14376206
261	64.12612056
262	64.10831426
263	64.09381008
264	64.07472214
265	64.05386424
266	64.03030385
267	64.01399076
268	63.99218082
269	63.98041132
270	63.96391053
271	63.94780747
272	63.93371346
273	63.92108064
274	63.9152077
275	63.90114261
276	63.88658357
277	63.87148598
278	63.85136998
279	63.84301407
280	63.82771552
281	63.82059707
282	63.80592486
283	63.78249338
284	63.76724771
285	63.75676371
286	63.73644035
287	63.7230767
288	63.70495765
289	63.69452442
290	63.6751586
291	63.65949422
292	63.64666032
293	63.63292866
294	63.61998053
295	63.60648937
296	63.59355951
297	63.57586897
298	63.56294625
299	63.5512994
300	63.53690426
301	63.51322752
302	63.49261932
303	63.48325896
304	63.45440184
305	63.43764566
306	63.417947
307	63.40620903
308	63.38879287
309	63.36923187
310	63.34947183
311	63.33334805
312	63.32034865
313	63.31349201
314	63.29957792
315	63.29160297
316	63.27342404
317	63.24998321
318	63.23848096
319	63.21912498
320	63.18804028
321	63.16322245
322	63.15714957
323	63.14457106
324	63.13251339
325	63.11720877
326	63.10121823
327	63.09501183
328	63.08265061
329	63.05224011
330	63.04219705
331	63.02839841
332	63.01749248
333	63.00082411
334	62.98920301
335	62.97060582
336	62.9602724
337	62.95146742
338	62.93776488
339	62.91689976
340	62.90574151
341	62.88859588
342	62.8762289
343	62.85481634
344	62.84245332
345	62.83260279
346	62.82559859
347	62.8061558
348	62.79556535
349	62.78355214
350	62.75509378
351	62.73922733
352	62.72647297
353	62.71253536
354	62.698568
355	62.68556256
356	62.6703288
357	62.66332102
358	62.65087933
359	62.63457365
360	62.62186705
361	62.60673916
362	62.58958542
363	62.5784899
364	62.56726474
365	62.5450066
366	62.53176279
367	62.52044922
368	62.50675131
369	62.48303016
370	62.46627536
371	62.45951394
372	62.44036758
373	62.41600795
374	62.40314318
375	62.38520271
376	62.37633103
377	62.36297585
378	62.35577783
379	62.34184044
380	62.32910167
381	62.31002732
382	62.2977584
383	62.28415161
384	62.26687578
